,Date,ID,Tweet,User
13,2017-07-24,889589545213337601,"Long AUD/USD is a ""G10 Thematic Trade of the Week"" https://t.co/HDHFVPzqxY",ForexLive
13,2018-12-27,1078309947664932864,the price trades below support since it is now on support and can possibly bounce higher. @ubcfx #forexsignals #aud #usd #price #price #trade,DanJenn24713570
14,2018-12-27,1078308590409129985,AUD/USD is perilously close to the October low https://t.co/HpRWsq7HsI https://t.co/cZlRnLY02X,tradercliq
14,2017-07-14,885844152239484930,AUD/USD is on the cusp of a major breakout https://t.co/JImpCDcvS7 https://t.co/oj77CZg6Je,ForexLive
15,2018-12-27,1078308380077408264,AUD/USD is perilously close to the October low https://t.co/s2NP1Tu5VY via ForexLive #forex #fx,BlackCentaurFX
15,2017-05-28,868980053710966785,When AUD/USD was at 0.5020 this indicator was where it is now https://t.co/8qc9coCXzD,ForexLive
16,2018-12-27,1078308269855256581,AUD/USD is perilously close to the October low https://t.co/e22G1dpUwb https://t.co/AsbBC4F8FO,ForexLive
16,2017-01-20,822537600024055808,AUD/USD is up nearly 5% in 2017 https://t.co/rGGGW4laVC,ForexLive
17,2018-12-27,1078172655461810176,"Channel Down identified at 27-Dec-2018 07:00 SAST. This pattern is still in the process of forming. Possible bearish price movement towards the support 0.7033 within the next 2 days.AUD/USD Target Level: 0.7033
Channel Down identified at 27-Dec-2018 07:00 SAST. This pattern is st https://t.co/fODjzhVaHj",IfxBrokers
17,2016-01-22,690360151195414530,"AUD/USD traders - Australian inflation due next week, what is expected https://t.co/QRlIfPzs2D",ForexLive
18,2018-12-23,1076984681935958016,"AUD/USD - thesedays, any bounce in Asian session is the biggest fake one who bought lose bi money in US session -caution is needed",Anthony77Short
18,2015-09-29,648994486949969920,Goldman Sachs is 'cautious' but looking for AUD/USD to rebound to 75 cents http://t.co/fb8y9HpnIv,ForexLive
19,2015-05-19,600482820927131649,AUD/USD ... HSBC reckon the RBA is fighting a covert currency war http://t.co/FmFntvAbkN,ForexLive
19,2018-12-21,1076028870476783616,"As the seller maintains a bearish bias, the AUD/USD is hovering around 0.71",Liyueying5
20,2015-04-13,587608133809352707,Option expiries 10am NY cut today 13 April  http://t.co/97R7Y03UoS AUD/USD at 0.7600 is one to watch.,ForexLive
20,2018-12-20,1075758240258940928,When is the Aussie jobs report and how could it affect AUD/USD? - FXStreet https://t.co/WwAEVUH6i8,AtlasMarket
21,2018-12-20,1075568277475123201,@LiberalAus One main reason we are heading to surplus is because the AUD / USD is sinking like a stone thus helping magically produce export revenue. The Liberals have been awake at the wheel murdering each other.,sjpops1
21,2015-01-22,558371273563459584,The US dollar is bulldozing technical levels. Cable below 1.5000. EUR/USD below 1.1350. AUD/USD testing 0.8000 now.,ForexLive
22,2018-12-20,1075563804153524224,"When is the Aussie jobs report and how could it affect AUD/USD?,https://t.co/glwcfeXf6p",ForexUkraine
22,2014-10-09,520352300657692674,Which Aussie bank is calling for the AUD/USD to 0.90 by year end? Why.?http://t.co/ecdca7M80h http://t.co/Rju50pdvm6,ForexLive
23,2014-09-09,509346632446402560,Is AUD/USD the next pair looking for a big move from a range break? http://t.co/g4PkYeIHBg,ForexLive
23,2018-12-20,1075544370651324416,When is the Aussie jobs report and how could affect AUD/USD? - https://t.co/KSuXSUQK8T,forexcrunch
24,2018-12-20,1075543995319836672,When is Aussie jobs report and how could affect AUD/USD? By @ross_burland https://t.co/szLpycTsBK #AUDUSD,FXstreetNews
24,2014-09-05,507705416357126144,AUD/USD &amp; NZD/USD orderboard is on its way ... BRB!,ForexLive
25,2018-12-19,1075471040678121472,US Fed rose the rate as expected 2.5% means 0.25% more than before. E/U went up at first then went down though U found out why all the time i suggest do not open position a little before important news the best pair for going down is AUD/USD,imifx
25,2014-06-11,476704155570937856,"The break is on again for AUD/USD, 3rd time lucky? http://t.co/TaYTR1mYbt",ForexLive
26,2014-05-20,468749095843401728,AUD/USD failure at 0.9400 suggests the bull party is over for now http://t.co/8H3sLjNMbd,ForexLive
26,2018-12-19,1075425792794943488,"FX Prices Coiled and Ready for FOMC: EUR/USD, USD/JPY and AUD/USD: Today brings the final FOMC rate decision of 2018, and the wide expectation is that the bank will bring a dovish hike to markets. But how dovish might the Fed be in today's projections? https://t.co/2M4wSPXdxY",LovettaLowen
27,2018-12-19,1075193958190346241,"The US fed rate hike meeting is scheduled for 6am AEST tomorrow. There is a 72% chance of a rate increase which is a #fx trading opportunity. We are interested in the AUD/USD pair, with an entry around the 0.7206 mark for a 24 hour short trade
#forex #cfd #trading #markets #USfed",TraderBondi
27,2014-03-10,443014656660373504,A crash in iron ore prices is the type of news that will keep AUD/USD bulls on tenterhooks http://t.co/5HKc6lwDsn,ForexLive
28,2018-12-18,1075151369605136384,"AUD/USD Target Level: 0.7151.
Falling Wedge identified at 19-Dec-2018 00:00 EET. This pattern is still in the process of forming. Possible bearish price movement towards the support 0.7151 within the next 3 days.
Trade now: https://t.co/RphcYxoJrF
Losses may exceed deposits. https://t.co/RI7h0PJDDL",axi_official
28,2014-03-06,441477515472031744,AUD/USD higher as the Aussies hit the shops but the hard work is still to be done http://t.co/XFF2XrtM3g,ForexLive
29,2018-12-18,1074951240541450240,"AUD/USD: Don’t expect any help from the jobs report https://t.co/ejIvBmFLxP

Australia is expected to show a more modest increase in jobs in November.  The composition of jobs matters almost like the headline number. The reaction in AUD/USD depends heavily on the Fed decision. …",forexfusion1
29,2014-02-07,431792822015234048,AUD/USD is taking the money and running http://t.co/5f6QJ422Lm,ForexLive
30,2018-12-18,1074950031134875648,AUD/USD: Don’t expect any help from the jobs report: Australia is expected to… https://t.co/Qb7qyIz13I #fxtrading,Forex_warrior
30,2014-01-27,427842403840843776,Is AUD/USD finally going to get a bounce? http://t.co/oYTM4YxcrX,ForexLive
31,2014-01-14,423221711970897922,How is the AUD/USD orders board looking today? http://t.co/5XUZcqjZGu,ForexLive
31,2018-12-18,1074856283730173952,AUD/USD Price Outlook: Aussie Bounces from Big Support Ahead of Fed: Aussie is testing make-or-break support ahead of the FOMC interest rate decision. Here are the targets &amp; invalidation levels that matter on the AUD/USD charts this week. https://t.co/DfrPy1H2tY,learnfxtradecom
32,2018-12-17,1074810992159125505,AUD/USD Price Outlook: Aussie Bounces from Big Support Ahead of Fed: Aussie is testing make-or-break support ahead of the FOMC interest rate decision. Here are the targets &amp; invalidation levels that matter on the AUD/USD charts this week.,forextrader755
32,2013-12-10,410476729577517056,Is that it for AUD/USD declines? http://t.co/Jl2S1HpOoF,ForexLive
33,2013-10-28,394957225208586240,AUD/USD is hitting some stops http://t.co/T4AShiGwLq,ForexLive
33,2018-12-17,1074549644229783553,Will AUD/USD eventually go to 0.7250 and 0.7300? Here is the expectation. #AUDUSD #forex #forexsignals https://t.co/UIoNDwreQe https://t.co/zDPsiku4Kv,chartingtoday
34,2013-10-15,390184455182487552,@AnnesLimo AUD/USD is near the session low. It's losing ground on the risk trade,ForexLive
34,2018-12-15,1073741592748548097,"@ChartGuys I'm watching AUD/USD and I'm seeing mkt structure break upwards while almost simultaneously it's reversing/breaking in the opposite direction on daily TF.

Is there any significance to this? I'm avoiding it b/c I'm inexperienced.

Thanks for any input.",hortstu
35,2012-10-29,262798970923917312,Is the RBA discreetly trying to hold the AUD/USD down? http://t.co/6U6Zwxlj,ForexLive
35,2018-12-15,1073732325006024704,"AUD Prices May Fall Into 2019, AUD/CAD at Risk to Reversal Pattern: The Australian Dollar may be setting itself up for declines in the final weeks of 2018. AUD/USD and AUD/NZD look vulnerable while AUD/CAD is overshadowed by a bearish reversal pattern. https://t.co/FKq19B0IO7",_fxtyphoon_
36,2012-08-29,240881581609328640,AUD/USD RT @thestalwart: The collapse of iron ore is quite remarkable. Down 6.7% just in a day. http://t.co/BDVhAi4G,ForexLive
36,2018-12-14,1073701314905948160,"""AUD Prices May Fall Into 2019, AUD/CAD at Risk to Reversal Pattern"" The Australian Dollar may be setting itself up for declines in the final weeks of 2018. AUD/USD and AUD/NZD look vulnerable while AUD/CAD is overshadowed by a bearish reversal pattern.",FBS_marketnews
37,2018-12-14,1073578031053238272,@iamrader The negative AUD view is 100% intact. But one could consider being short AUD/USD instead for carry reasons,AndreasSteno
37,2012-04-30,196771053538783232,AUD/USD could fall to 50 cents: Andy Xie says Australia is one massive bubble http://t.co/xxSUmkJP,ForexLive
38,2018-12-14,1073500885291098112,AUD/USD Technical Analysis: Bear flag breakdown is signaling scope for deeper losses https://t.co/JEMCRqxKCj,KhalidSaifuddin
38,2011-08-17,103866101997379584,ForexLive: Is M&A part of the AUD/USD bid?  http://t.co/oI1gD2p,ForexLive
39,2018-12-14,1073479216484765696,"AUD/USD market is likely to be stuck until at least next Wednesday when the Fed gives its final monetary policy dispensation of 2018. An increase will surprise no one, but the prognosis will be all important.
#AUDUSD #trading #forexmarket #forex #forextrading #forexmoney https://t.co/n0rdL1BC5R",TradersTrustcm
39,2011-05-04,65727883380920320,ForexLive: Anyone noticed where AUD/USD is? http://www.forexlive.com/184773/all/anyone-noticed-where-audusd-is,ForexLive
40,2018-12-14,1073415705616375808,AUD/USD Technical Analysis: Bear flag breakdown is signaling scope for deeper losses https://t.co/7324E81ofz #Fed https://t.co/X8985H4PUM,RJBurland
40,2018-12-20,1075543995319836672,When is Aussie jobs report and how could affect AUD/USD? By @ross_burland https://t.co/szLpycTsBK #AUDUSD,FXstreetNews
41,2018-12-19,1075236781136797696,"AUD/USD is again attempting a break above 0.72, focus on Fed By @godbole17 https://t.co/FjmcXm75nT #AUDUSD #Fed",FXstreetNews
41,2018-12-14,1073402488294916099,AUD/USD: Australian dollar is at risk of falling below 0.72000 By @Rotuma1 https://t.co/IA3vxBmWzu #AUDUSD,FXstreetReports
42,2018-12-18,1074847165267234816,AUD/USD Technical Analysis: AUD is teasing falling wedge breakout By @godbole17 https://t.co/cBZykyYb4O #AUDUSD #Technical Analysis,FXstreetNews
42,2018-12-13,1073340001021292544,"AUD/USD Target Level: 0.7247
Rising Wedge identified at 13-Dec-2018 18:00 UTC. This pattern is still in the process of forming. Possible bullish price movement towards the resistance 0.7247 within the next 8 hours.

 #forex  #forextrader #money #entrepreneur #forextrading #forexl https://t.co/CukAvCJ1Sz",mexexchangefx
43,2018-12-11,1072483502074011650,Ps the AUD—&gt;USD exchange is still v guuuud,freefcknbritney
43,2018-12-14,1073414656281243648,AUD/USD Technical Analysis: Bear flag breakdown is signaling scope for deeper losses By @godbole17 https://t.co/Jdbr4jfQon #AUDUSD #Technical Analysis,FXstreetNews
44,2018-12-11,1072401481691750400,@bonniemck3's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,bonniemck3
44,2018-12-14,1073383266084941826,"When is China's Retail Sales, and how could it affect the AUD/USD? https://t.co/Y4SKWbxxxK #AUDUSD #China #RetailSales",FXstreetNews
45,2018-12-06,1070528900135051264,AUD/USD Technical Analysis: AUD is proving key trendline support By @godbole17 https://t.co/2i4KqqWvKk #AUDUSD #Technical Analysis,FXstreetNews
45,2018-12-10,1072005583476350978,The AUD/USD is on the Rise – FX Leaders https://t.co/AJf53Vck76,_fx_news_
46,2018-12-06,1070470796378890240,"When is the Aussie Trade Balance, and how could it affect the AUD/USD? https://t.co/papkGIGEKT #AUDUSD #TradeBalance",FXstreetNews
46,2018-12-08,1071533885945712640,"AUD/USD | $AUDUSD | $AUD $USD (9355)

AUDUSD LONG , LEADING DIAGONAL LAUNCHED BUY RALLY IS COMING

Long or short AUD/USD on WCX:
https://t.co/C3HaZzHrSx https://t.co/pEIC1KFDEp",IdeasPrime
47,2018-12-08,1071262058576994304,"The way I open, close and manage my Forex Trades via futures is an area I need to work and improve on.
As with stocks money management is so important, need to do more work on when to open a position and when to close.
At this stage will only trade AUD/USD both ways",Reg0877
47,2018-12-04,1070084581322313728,"When is the Aussie GDP release, and how could it affect the AUD/USD? https://t.co/x7HYkwf73z #AUDUSD #GDP #Australia",FXstreetNews
48,2018-12-07,1070978893031587840,"📈 AUD/USD found support near 0.7190-0.7200 and it is currently consolidating. NZD/USD looks set to gain pace above the 0.6890 resistance area in the near term.

👀 Detailed #AUDUSD and #NZDUSD technical analysis you can find on our blog: https://t.co/EswqmPkaIl",FXOpenBroker
48,2018-12-04,1069774436486799361,"When is the RBA's Rate Statement, and how could it affect the AUD/USD? https://t.co/N8Paju5qnh #AUDUSD #RBA #InterestRate",FXstreetNews
49,2018-12-07,1070894481342386181,AUD/USD found support near 0.7190-0.7200 and it is currently consolidating. NZD/USD looks set to gain pace above the 0.6890 resistance area in the near term. https://t.co/7YuGs15UAG,win2achieve
49,2018-11-28,1067925054040752129,"When is Australia's Capex reading, and how could it affect the AUD/USD? https://t.co/q4sOuEUPjE #AUDUSD #Australia",FXstreetNews
50,2018-12-06,1070819493893554177,"Tech Targets: EUR/USD, GBP/USD, AUD/USD, NZD/USD, USD/JPY – December 7: Stocks are suffering but currencies are relatively stable. What's next? Here is their view, courtesy of eFXdata: EUR/USD: Neutral (since 21 Aug 18, 1.1485): EUR is caught in a cons ... https://t.co/PGTYXymxWN https://t.co/HriIXl40Tb",gl_trade
50,2018-11-27,1067264631721418753,AUD/USD: focus is on the 10-year yield differential By @godbole17 https://t.co/8Wd06c1khX #AUDUSD #YieldCurve,FXstreetNews
51,2018-12-06,1070763845843587072,"New post (Elliott Wave Analysis: Bears Push Lower On AUD/USD) has been published on Get the latest financial news. Free real time quotes, 25 Trading Tools, Technical analysis, and much more. - 

Hi traders,
 is ... - https://t.co/Ha412JliNj https://t.co/dNGRiZBpBW",biedexmarkets
51,2018-11-19,1064531194489044992,AUD/USD Technical Analysis: Aussie bears take the helm as the market is set to drop to 0.7250 level https://t.co/rYLqRtQoms #AUDUSD #Technical Analysis,FXstreetNews
52,2018-12-06,1070537082442080256,AUD/USD Technical Analysis: AUD is proving key trendline support https://t.co/IgyNF5I0vV,eginetsforex
52,2018-11-14,1062850883501899777,"When is the Aussie Unemployment report, and how could it affect the AUD/USD https://t.co/jWQ8wkbMay #AUDUSD",FXstreetNews
53,2018-12-06,1070485107406860288,"$AUD/USD this is monthly trend line was ALSO referring to, dating back to 2002 https://t.co/q3kpqD4v2m",forexpipx
53,2018-11-14,1062528698224705536,AUD/USD is on the defensive as China retail sales indicate softening domestic demand By @godbole17 https://t.co/sbcbw4OylV #AUDUSD,FXstreetNews
54,2018-12-05,1070329035249647616,"EUR/USD-Softer into the afternoon as USD broadly gains
• EUR/USD traded in a narrow range in Asia after choppy US session
• Range was 1.1323/46 and is closer to the lows into the afternoon
• USD broadly bid led by AUD/USD fall after GDP &amp; USD/JPY move above 113.00",torvale1953
54,2018-11-14,1062513388054548480,AUD/USD is struggling to clear 100-hour SMA despite the uptick in Aussie wage growth By @godbole17 https://t.co/gsryXkGP1W #AUDUSD,FXstreetNews
55,2018-11-11,1061498837360148480,AUD/USD: The labor market pickup is expected to support Aussie as employment is set to rise 20K in October https://t.co/pj3kSzKVXI https://t.co/hdC7xkNzSW,FXstreetNews
55,2018-12-05,1070113535781412867,"When is the Aussie GDP release, and how could it affect the AUD/USD? https://t.co/hMc9RjrNX3",FXCMMarkets
56,2018-11-09,1060986092957155330,AUD/USD Technical Analysis: Aussie is retracing down en route to 0.7200 figure https://t.co/rCXfgEOGKe #AUDUSD #Technical Analysis,FXstreetNews
56,2018-12-05,1070113535735164928,"When is the Aussie GDP release, and how could it affect the AUD/USD? https://t.co/Zkiv4jKpwT",FXCMAustralia
57,2018-12-04,1069955959211081728,"#AUD/USD is pushing Higher following RBA decision
The #RoyalBankofAustralia has decided to keep its #rates on hold at 1.50%, as expected
The #RBA will not cut rates in the next future, a rate hike would be more likely.
https://t.co/ki9h8PhJJM",TradingCentral
57,2018-11-08,1060672753475506182,When is the RBA SoMP and how could it affect the AUD/USD? https://t.co/gSVaifMZx0 #AUDUSD #RBA,FXstreetNews
58,2018-12-04,1069955585951625217,"AUD/USD is pushing higher following RBA decision

https://t.co/0t6sp0BcCk",TradeFredAU
58,2018-11-08,1060371840894492672,AUD/USD is attempting gains above 100-day EMA after China trade data release By @godbole17 https://t.co/DmuADmH2rQ #AUDUSD #TradeBalance,FXstreetNews
59,2018-12-04,1069955378132209664,"AUD/USD is pushing higher following RBA decision
https://t.co/dtSYO7L9yG",TradeFred
59,2018-11-08,1060345538619547650,"When is China's Trade Balance, and how could it affect the AUD/USD? https://t.co/kWzrqLOnKh #AUDUSD #China #TradeBalance",FXstreetNews
60,2018-12-04,1069848386466140160,"Top story: When is the RBA's Rate Statement, and how could it affect the AUD/USD? https://t.co/HMVs5yBH93, see more https://t.co/a4OCkdFSJS",Homes_RVA
60,2018-11-06,1059619716933783553,"When is the RBA Rate Statement/Decision, and how could it affect the AUD/USD? https://t.co/1x4ZVWWuPt #AUDUSD #RBA #Australia #InterestRate",FXstreetNews
61,2018-11-04,1059229678475624449,#AUD/USD ripe for a retracement within bearish channel; 0.7160 is key https://t.co/PLxCsx0WuY,FXstreetNews
61,2018-12-03,1069704872822493186,"AUD/USD falls into the gap; My predictions is the gap will close and prepare for Long Positions from +/_ 0.73356
#justmyopinion @EquityAxis @WomenInForex 
#trading #FOREXOTEAMTH 
https://t.co/08UnOniJEy",Mutematemi
62,2018-12-03,1069562433461604352,"Some technical analysis on AUD/USD re trading with the moving average: note in the chart where the price crosses above the SMA at .72528, signalling the next uptrend. Take profit was set at .73450 and it paid off. Ask price is currently sitting at .736. https://t.co/rIFzwIvs8W",DGbushido
62,2018-11-04,1059229081630400512,AUD/USD ripe for a retracement within bearish channel; 0.7160 is key By @ross_burland https://t.co/ABnofjuBkO #AUDUSD,FXstreetNews
63,2018-11-01,1058134829802422273,"When is the Australian Retail Sales, and how could it affect the AUD/USD? https://t.co/WErZ05cssa #AUDUSD #RetailSales #Australia",FXstreetNews
63,2018-12-03,1069525978530095104,"Signs of progress at the G20 meeting between the US and China is likely to be the main driver of sentiment this week. What does this mean for AUD/USD? 

Read more ➡  https://t.co/U1zRSlUjBT

*71% of retail investor accounts lose money when trading CFDs https://t.co/uuFcgDKUdN",ActivTrades_UK
64,2018-12-03,1069476416042008576,"and momentum is building on AUD/USD, next major resistance is 0.7660 region",KarriAsset
64,2018-10-31,1057776951300112384,"When is the Aussie Trade Balance, and how could it affect the AUD/USD? https://t.co/P9xg1uULLV #AUDUSD #TradeBalance",FXstreetNews
65,2018-12-03,1069443670309449729,"@MacroTechnicals AUD/USD is trading on emerging market risk ATM. PMI won't have much impact, until that risk on risk off trade fades...",robert_rxd
65,2018-10-30,1057410415561527296,"When is the Aussie CPI, and how could it affect the AUD/USD? https://t.co/BTAEW072M1 #AUDUSD #Australia #CPI",FXstreetNews
66,2018-10-26,1055831553421512706,AUD/USD Technical Analysis: Aussie rebounding from yearly low as 0.7100 is back in sight https://t.co/iSoM4SdnB5 #AUDUSD #Technical Analysis,FXstreetNews
66,2018-12-01,1068879924881223680,"@zeroleverage These pairs are near the buttom, yearly bottom 0.7 for aud/usd and 0.64 for nsd/usd, holdind any pair of aud and nzd will give you swaps, really good swaps for some brokers, and the raise of interest rates is coming next year for both pairs.",ysfbeck1
67,2018-10-26,1055647198401216512,AUD/USD Technical Analysis: 200-hour EMA is the proving a tough nut to crack By @godbole17 https://t.co/33qEfurdji #AUDUSD #Technical Analysis,FXstreetNews
67,2018-11-29,1068227389073821696,"AUD/USD: Australian dollar is under pressure at 0.72990 support
https://t.co/AJ5dhaqKky",LeoPrimeFx
68,2018-11-28,1067833241946783745,Aussie Is Tending to Decline. Several Trading Ideas for AUD/USD  https://t.co/hgIaP6ymvp #forex #fxtrading https://t.co/XqMrOJGg2o,ninZaco
68,2018-10-24,1054916029145640960,AUD/USD: Bearish 5-day EMA is capping gains as S&amp;P 500 futures are flashing red By @godbole17 https://t.co/F9vkICW0Fo #AUDUSD,FXstreetNews
69,2018-10-23,1054783685252276224,AUD/USD Technical Analysis: Aussie rebounding near 2018 lows as 0.7144 is back on the radar https://t.co/anSlMqfDpN #AUDUSD #Technical Analysis,FXstreetNews
69,2018-11-28,1067789479866499072,Aussie Is Tending to Decline. Several Trading Ideas for AUD/USD https://t.co/PRylsYEfex https://t.co/tWlRXWzUdU,myfxinfocom
70,2018-10-23,1054774535910817792,"AUD/USD: All is well for bears targetting 0.68 handle, so long as the 21-SMAs hold across multiple time frames By @ross_burland https://t.co/wlwfLhiIKn #AUDUSD",FXstreetNews
70,2018-11-28,1067785466492215296,Aussie Is Tending to Decline. Several Trading Ideas for AUD/USD https://t.co/Qs2niYxKvc,fx_piprunner
71,2018-10-22,1054420725732392960,AUD/USD is currently testing key trend line support as USD/CNH eyes critical 6.95 handle By @ross_burland https://t.co/Dcky7nytgQ #AUDUSD #USDCNY,FXstreetNews
71,2018-11-28,1067784806610755585,Aussie Is Tending to Decline. Several Trading Ideas for AUD/USD https://t.co/tizzpD8FgH,5Guys_Trading
72,2018-10-19,1053089253507428352,When is the China GDP and how could it affect the AUD/USD? https://t.co/YmRidnElqy #AUDUSD #GDP #China,FXstreetNews
72,2018-11-27,1067403379360464896,"Learning is a continuous process. That's why we are here to help you in doing so by giving you today's market news and charts.

#financebrokerage #forextrading #marketnews #aud #usd #eur #gbp
@FinanceBroker_ https://t.co/cvXuL4E6cM",financebrokerag
73,2018-11-27,1067338780502310912,"Aud/Usd: it is possible to buy from the current levels. Stop below 7212, target 7300",KhrzmnvRR
73,2018-10-17,1052699689739538432,"When is the Aussie Unemployment Rate release, and how could it affect the AUD/USD? https://t.co/ChxFStPD5t #AUDUSD #Employment",FXstreetNews
74,2018-11-26,1067006579021623296,AUD/USD Forex Technical Analysis – Key Weekly Support Zone is .7179 to .7141 - https://t.co/1KTEQJBllU #forex #news https://t.co/wKv18VfmVj,SignalsMe
74,2018-10-16,1051990420740329472,"When is the China CPI/PPI reading, and how could it impact the AUD/USD? https://t.co/6HuQtgatyN #AUDUSD #China #CPI #PPI",FXstreetNews
75,2018-10-15,1051798301870358534,AUD/USD stays neutral and is seen rangebound near term – UOB By @pabspiovano https://t.co/MF5SJi1dmJ #AUDUSD #Banks,FXstreetNews
75,2018-11-26,1066988410655703040,You can read our new post: The Aussie is attempting a break above the 100-day SMA. AUD/USD technical analysis here https://t.co/FRplzILDfi,ForexNewsNow
76,2018-10-12,1050551629014081537,"When is the China Trade Balance data, and how could it affect the AUD/USD? https://t.co/cDV46Yx21J #AUDUSD #China #TradeBalance",FXstreetNews
76,2018-11-26,1066917673928454144,AUD/USD Forex Technical Analysis – Key Weekly Support Zone is .7179 to .7141 https://t.co/H7a3uQJAw5 #AUDUSD $AUDUSD #AUD #USD $AUD $USD #Forex #FX #Trading #Investing,PPTReport
77,2018-10-09,1049714146537889792,AUD/USD: buls can target S3 that is in close proximity; Watching DXY struggle above key support line at 95.65 By @ross_burland https://t.co/qYUh4FoC4T #AUDUSD,FXstreetNews
77,2018-11-23,1065892963560108033,"@thechartist Fundamental Reasons for AUD/USD short?
Oanda's Order Book is quite heavily long AUD/USD + Interest Rate Differential &amp; The poor health of Australia's economy compared to the US, it seems like a logical short, Price Action is certainly is at good levels on the daily,",woolley_ashton
78,2018-11-22,1065722971237556224,"Is gold looking for another bullish rally ?

https://t.co/rNrXgjNmVX

daily market trends

EUR/USD 
Strong Sell

GBP/USD 
Strong Sell

USD/JPY 
Strong Buy

AUD/USD 
Neutral

GOLD 
Buy

CRUDE OIL WTI 
Strong Sell

#forex #dailyforex  #forexanalysis #forextrading #forexbonus #forex",dailyforexbonus
78,2018-10-09,1049497018899546112,"AUD/USD is moving toward 0.71, Dalian iron ore clocks three-week highs By @godbole17 https://t.co/aqxygKsqSN #AUDUSD",FXstreetNews
