Date,Date,Headline
2019-01-17,2019-01-17,Forex - Dollar Pushes Higher; Pound Slips as Risk Sentiment Pressured
2019-01-16,2019-01-16,Forex - British Pound Little Changed as May Wins Confidence Vote
2019-01-16,2019-01-16,Theresa May Survives Vote of No Confidence; Pound Flat
2019-01-16,2019-01-16,Forex - Sterling Rebounds on 
2019-01-16,2019-01-16,"Dollar up on bleak EU outlook, pound bolstered by hopes of soft Brexit"
2019-01-16,2019-01-16,Forex - Pound Settles after Brexit Vote Defeat; Dollar Edges Lower
2019-01-15,2019-01-15,Forex - Pound Trades Flat Following May’s Brexit Vote Defeat
2019-01-15,2019-01-15,Pound Falls as Investors Weigh Worst-Case Brexit as Vote Fails
2019-01-15,2019-01-15,Citi says chance of delay to Brexit now 'very high'
2019-01-15,2019-01-15,Pound Pares Losses After UK Lawmakers Vote Down PM May's Brexit Deal
2019-01-15,2019-01-15,Forex - Dollar Rides Sterling's Slump Higher as Brexit Vote Looms
2019-01-15,2019-01-15,All clear or keep clear? Turkey's lira still vulnerable
2019-01-15,2019-01-15,Forex - U.S. Dollar Rises After Weak German Data
2019-01-15,2019-01-15,Brighter future for sterling seen if no-deal Brexit is averted
2019-01-15,2019-01-15,"Forex- Dollar Dips on Rate View, Pound Rises ahead of Brexit Vote"
2019-01-15,2019-01-15,Forex - British Pound Edge Up Ahead of Key Brexit Vote
2019-01-14,2019-01-14,"Dollar slips on rate view, sterling firms before Brexit vote"
2019-01-14,2019-01-14,Forex - Dollar Subdued Despite Sterling Giving Up Gains Ahead of Key Brexit Vote
2019-01-14,2019-01-14,Forex - U.S. Dollar Flat as Yen Rebounds
2019-01-14,2019-01-14,Sterling falls as investors prepare for Brexit vote
2019-01-14,2019-01-14,"UBS Sees Two Fed Hikes, Asian Central Banks to Pause in 2019"
2019-01-14,2019-01-14,"Aussie dollar, yuan sink on China export slump"
2019-01-14,2019-01-14,"Forex - Yen Gains after China Exports Drop, Dollar Dips"
2019-01-14,2019-01-14,Forex - U.S. Dollar Little Changed; Yuan Slips on Weak Trade Data
2019-01-13,2019-01-13,Forex - Weekly Outlook: January 14 - 18
2019-01-12,2019-01-12,Zimbabwe plans new currency as dollar shortage bites: Finance Minister
2019-01-11,2019-01-11,Forex - Dollar Struggles as Sterling Soars on Expectations of Brexit Delay
2019-01-11,2019-01-11,Forex - U.S. Dollar Rises After Inflation Data
2019-01-11,2019-01-11,China promotes use of yuan among Southeast Asian nations
2019-01-11,2019-01-11,Pound Pares Gain as Government Denies Brexit Date May Be Delayed
2019-01-11,2019-01-11,Forex - Euro Heads for Weekly Gains as U.S. Dollar Weakens
2019-01-11,2019-01-11,Euro set for biggest weekly gain in four months
2019-01-11,2019-01-11,"China's Yuan Sees Best Week Since 2005, With Help From Fed"
2019-01-11,2019-01-11,"Forex - Aussie Dollar Climbs on Strong Retail Sales Data, U.S. Dollar Slips"
2019-01-10,2019-01-10,"China's Yuan Is Set for Best Week Since 2005, With Fed Help"
2019-01-10,2019-01-10,"As Bullish Yuan Bets Pile Up, Jefferies FX Head Preaches Caution"
2019-01-10,2019-01-10,"Forex - Dollar Higher on Powell Comments, Sterling Weakness "
2019-01-10,2019-01-10,Forex - U.S. Dollar Rises But Still Under Pressure After Fed Minutes
2019-01-10,2019-01-10,Forex - U.S. Dollar Slips After Fed; China CPI in Focus
2019-01-09,2019-01-09,Dollar shaky on Fed minutes; riskier assets up on trade optimism
2019-01-09,2019-01-09,Forex - Dollar Makes Dash Lower as Fed Open to Pause on Rate Hikes
2019-01-09,2019-01-09,Forex - U.S. Dollar Slumps on Dovish Fed Comments
2019-01-09,2019-01-09,"Canada dollar to rebound in 2019, supported by higher rates: Reuters poll"
2019-01-09,2019-01-09,Bond-Market Warning Seen in Weakest Treasuries Demand Since 2008
2019-01-09,2019-01-09,Forex - Sterling Under Pressure as Brexit Vote Looms
2019-01-08,2019-01-08,"Forex - Yuan, Aussie Dollar Gain on Trade Talk Hopes"
2019-01-08,2019-01-08,"Australia, NZ dollars firm as Sino-U.S. talks extended"
2019-01-08,2019-01-08,"Forecasts for Aussie, kiwi cut, but gains still seen by end-2019: Reuters poll"
2019-01-08,2019-01-08,Reuters poll: China's yuan to break 7 per dollar in six months - FX strategists
2019-01-08,2019-01-08,Dollar edges lower as U.S.-China trade optimism lifts Aussie
2019-01-08,2019-01-08,"Yen in Demand, U.S.-China Talks Extend, Liang Withdraws: Eco Day"
2019-01-08,2019-01-08,"Yen May Hit 100 Against U.S. Dollar, Ex-BOJ Official Says"
2019-01-08,2019-01-08,Forex - Dollar Set to Snap 3-Day Losing Streak as Sterling Slides
2019-01-08,2019-01-08,Forex - U.S. Dollar Jumps on News of Trade Talk Extension
2019-01-08,2019-01-08,"U.S. issues fresh Venezuela sanctions, including on Globovision: website"
2019-01-08,2019-01-08,Euro slips on slowdown fears; dollar advances
2019-01-08,2019-01-08,BIS says central banks in no rush to issue e-money
2019-01-08,2019-01-08,Forex - Dollar Gains as U.S-China Wrap Up Trade Meeting
2019-01-07,2019-01-07,Forex - U.S. Dollar Rebounds After Falling for Fourth Straight Session
2019-01-07,2019-01-07,Forex - Dollar in Doldrums as U.S. Services Activity Undershoot Estimates
2019-01-07,2019-01-07,Dollar falls for a third day on rate pause bets
2019-01-07,2019-01-07,"Forex - Dollar Slips as Powell Views, China Hopes Bolster Risk Appetite"
2019-01-06,2019-01-06,Forex- U.S. Dollar Falls Ahead of Fed; Yen Gains Despite Improved Market Sentiment
2019-01-06,2019-01-06,"Australia, NZ dollars near 2-1/2 week highs on risk-on rally"
2019-01-06,2019-01-06,Iran's central bank proposes slashing four zeros from falling currency: IRNA
2019-01-06,2019-01-06,Forex - Weekly Outlook: January 7 - 11
2019-01-06,2019-01-06,Goldman Says to Bet on Weaker U.S. Dollar After Powell Comments
2019-01-04,2019-01-04,Forex - Dollar Struggles as Powell Says He is Prepared to Change Policy ‘Quickly’
2019-01-04,2019-01-04,Forex - Euro Stable Despite Disappointing Inflation Data
2019-01-04,2019-01-04,Sterling edges up ahead of UK services data
2019-01-03,2019-01-03,Yen weakens but moves capped by global growth worries
2019-01-03,2019-01-03,"Forex - Yen Falls as U.S., China Prepares Trade Talks Next Week; Yuan Rises"
2019-01-03,2019-01-03,"RBI's New Year Giveaway May Hurt Credit Culture, Fitch Unit Says"
2019-01-03,2019-01-03,Yen's Best New Year in a Decade Has Implications for Japan
2019-01-03,2019-01-03,"Australia, NZ dollars stage comeback on US$, still lose to yen"
2019-01-03,2019-01-03,Jerome Powell Pledged Allegiance to Data and Some of It Looks Grim
2019-01-03,2019-01-03,Yen's surge is a red flag for world markets
2019-01-03,2019-01-03,Forex - U.S. Dollar Falls as Rattled Investors Turn to Yen
2019-01-03,2019-01-03,Yen soars as investors seek safety on China growth fears
2019-01-03,2019-01-03,Sterling sent lower after Asian 'flash crash' rocks FX markets
2019-01-02,2019-01-02,Forex - Yen Jumps as Apple’s Rare Revenue Warning Triggers Risk-Aversion Mood
2019-01-02,2019-01-02,Australian dollar left bloody after computer-driven crash
2019-01-02,2019-01-02,Japanese yen soars as 'flash crash' sweeps currency market
2019-01-02,2019-01-02,"Dollar starts 2019 strong, safety bid boosts yen"
2019-01-02,2019-01-02,Forex - U.S. Dollar Rises as Equities Tumble
2019-01-02,2019-01-02,UK minister defends giving Brexit ferry contract to company with no ships
2019-01-02,2019-01-02,Forex - Sterling Falls as Businesses Brace for Brexit
2019-01-02,2019-01-02,Global Bonds Rally as Euro-Area Data Add to Fears of a Slowdown
2019-01-02,2019-01-02,Forex - Yen Gains on Safe-Haven Bid; China’s Caixin PMI in Focus
2018-12-31,2018-12-31,Dollar ends strongest year since 2015 on defensive note
2018-12-31,2018-12-31,The unexpected moneymaker in 2018: euro zone government bonds
2018-12-31,2018-12-31,Global Stocks Rise to End Volatile Year; Oil Jumps: Markets Wrap
2018-12-31,2018-12-31,Stocks Advance to End Tumultuous Year; Oil Jumps: Markets Wrap
2018-12-30,2018-12-30, USD Flat In Asia As US-China Trade Talks Progress
2018-12-28,2018-12-28,Yen jumps as investors stay cautious amid volatile stock moves
2018-12-27,2018-12-27,Forex - Yen Rises Amid Renewed China-U.S. Tensions; U.S. Dollar Slips
2018-12-27,2018-12-27,Yen gains as stocks fall in broad-based selloff
2018-12-27,2018-12-27,Forex - Yuan Gains Despite Weak China Data; U.S. Dollar Slips
2018-12-26,2018-12-26,Dollar strengthens as U.S. stocks rebound off lows
2018-12-26,2018-12-26,Forex - Dollar Edges Higher in Quiet Post-Christmas Trade
2018-12-25,2018-12-25,"Dollar totters as U.S. politics, Fed worries weigh"
2018-12-25,2018-12-25,Dollar slips to four-month low versus yen amid turmoil in Washington
2018-12-24,2018-12-24,"Dollar weakens on government shutdown concerns, plunging stocks"
2018-12-24,2018-12-24,Forex - Dollar Slips in Pre-Christmas Trade Amid U.S. Political Uncertainty
2018-12-24,2018-12-24,"Forex - Dollar Slips, Yen Edges Up Amid U.S. Political Uncertainties"
2018-12-23,2018-12-23,Forex - Weekly Outlook: December 24 - 28
2018-12-21,2018-12-21,"Speculators' net long dollar bets grow in latest week: CFTC, Reuters"
2018-12-21,2018-12-21,Forex - Dollar's Drive Higher Can't Make Up for Rocky Week
2018-12-21,2018-12-21,"Dollar hovers near one-month low, yen benefits on rising growth risks"
2018-12-21,2018-12-21,Oil Prices Climb as OPEC Reassures Output Slash
2018-12-21,2018-12-21,Trump to name currency comptroller Otting as acting director of the FHFA
2018-12-20,2018-12-20,"Forex - U.S. Dollar Rises, Yen Falls Despite Risk-off Sentiment"
2018-12-20,2018-12-20,"World Bank trims Philippines' GDP growth forecast for 2018, 2019"
2018-12-20,2018-12-20,Canadian dollar lags other G10 currencies as oil prices slump
2018-12-20,2018-12-20,Dollar slips toward a 10-day low on growth concerns
2018-12-20,2018-12-20,Forex - Dollar Slips After Fed Decision; Yuan Also Falls
2018-12-19,2018-12-19,"Dollar steadies, off lows as Fed less cautious on policy"
2018-12-19,2018-12-19,Forex - U.S. Dollar Falls Amid Expectations of Fed Hike 
2018-12-19,2018-12-19,Dollar weakens as investors brace for expected Fed caution
2018-12-19,2018-12-19,Forex - Dollar Slides Ahead of Fed Announcement
2018-12-19,2018-12-19,Forex - U.S. Dollar Slips as Traders Wait for Fed’s 2019 Rate Outlook
2018-12-18,2018-12-18,China Watchers Split on Yuan Outlook; It All Comes Down to Trade
2018-12-18,2018-12-18,Forex - Dollar Flat as Fed Gets Two-Day Meeting Underway
2018-12-18,2018-12-18,Forex - U.S. Dollar Falls as Investors Wait for Fed Decision
2018-12-18,2018-12-18,Forex Market Isn't Buying Idea a No-Deal Brexit Can Be Managed
2018-12-18,2018-12-18,Euro rises as dollar wilts before expected Fed caution
2018-12-18,2018-12-18,"Forex - Dollar Slips as Fed Decision Awaited, Yen Supported"
2018-12-18,2018-12-18,Forex - U.S. Dollar Flat Ahead of Fed Decision; Xi’s Speech in Focus
2018-12-17,2018-12-17,Forex - Dollar Drops Ahead of Fed Rate Decision as Euro Edges Higher
2018-12-17,2018-12-17,Forex - U.S. Dollar Pulls Back From 18-Month High
2018-12-17,2018-12-17,Dollar index near 18-month high on safe-haven bid amid global growth worries
2018-12-17,2018-12-17,Forex - Dollar Holding below 19-Month Highs with Fed in Focus
2018-12-17,2018-12-17,Forex - U.S. Dollar Flat Ahead of Fed Meeting
2018-12-16,2018-12-16,"China's Yuan Trading Likely to Get More Volatile, Goldman Says"
2018-12-16,2018-12-16,Forex - Weekly Outlook: December 17 - 21
2018-12-15,2018-12-15,China central bank adviser says China should defend yuan at seven yuan per dollar
2018-12-14,2018-12-14,Forex - Dollar Set for Weekly Gain on Strong Retail Sales 
2018-12-14,2018-12-14,Forex - U.S. Dollar Rises After Retail Sales 
2018-12-14,2018-12-14,Forex - U.S. Dollar Rises as Investors Look Ahead to Fed Meeting
2018-12-14,2018-12-14,Forex - Yuan Falls on Weak Chinese Data; Dollar Edges Up
2018-12-13,2018-12-13,"Dollar gains as focus shifts to Fed, euro and sterling under pressure"
2018-12-13,2018-12-13,Dollar firmer as investor focus shifts to Fed
2018-12-13,2018-12-13,Pantera says some tokens in portfolio likely noncompliant with SEC rules
2018-12-13,2018-12-13,Forex - Dollar Flat as Euro Pares Losses
2018-12-13,2018-12-13,Forex - U.S. Dollar Inches Higher After Jobless Claims
2018-12-13,2018-12-13,Iran engineers rial recovery as it defies U.S. sanctions
2018-12-13,2018-12-13,"Forex - Pound, Euro Climb with Brexit, ECB Meeting in Focus  "
2018-12-13,2018-12-13,Pound Faces Rocky Road as May's Brexit Tussles Far From Over
2018-12-12,2018-12-12,Pound holds most gains as PM May survives vote but Brexit in peril
2018-12-12,2018-12-12,"Forex - U.S. Dollar Flat, Pound Edges Down as PM May Survives No-Confidence Vote"
2018-12-12,2018-12-12,"Asian shares, sterling up on pause in Brexit, trade fears"
2018-12-12,2018-12-12,Forex - Dollar Hurt by Sterling as Vote on UK PM May's Future Underway
2018-12-12,2018-12-12,Forex - U.S. Dollar Falls After Inflation Data
2018-12-12,2018-12-12,Pound Traders Are Betting on May to Survive
2018-12-12,2018-12-12,Forex - Pound Edges Higher as PM May Faces No-Confidence Vote
2018-12-12,2018-12-12,Forex - Pound Edges Up as Brexit Saga Continues; U.S. Dollar Flat
2018-12-11,2018-12-11,"Dollar hovers near month high on U.S. yield bounce, shaky pound"
2018-12-11,2018-12-11,Double Blow to Rupee Quells Revival Hope for Worst Asia Currency
2018-12-11,2018-12-11,Forex - Dollar Edges Higher on Sterling Slide as UK PM May's Future in Doubt
2018-12-11,2018-12-11,Forex - U.S. Dollar Inches Higher After PPI Data
2018-12-11,2018-12-11,Pound up from 20-month low after Brexit setback; dollar retreats
2018-12-11,2018-12-11,"Forex - Dollar Slips, Pound Steadies after Decline on Brexit Vote Delay"
2018-12-10,2018-12-10,"Forex - U.S. Dollar Slips Amid China, U.S. Trade Talks; Brexit Deal in Focus"
2018-12-10,2018-12-10,"India's Rupee, Bonds Slide as RBI Chief's Exit Roils Markets"
2018-12-10,2018-12-10,Japan keeps distance from FX as U.S automakers target yen manipulation
2018-12-10,2018-12-10,Forex - Dollar Rides Sterling Slump Higher as May Cans Brexit Deal Vote
2018-12-10,2018-12-10,Pound tumbles to 20-month low after Britain's May aborts Brexit vote
2018-12-10,2018-12-10,Forex - U.S. Dollar Higher While Sterling Tumbles
2018-12-10,2018-12-10,Forex - Sterling Sinks on Reports that Brexit Vote Being Pulled
2018-12-10,2018-12-10,"Forex - Dollar Flat as Trade Tensions, Global Growth Fears Weigh"
2018-12-10,2018-12-10,"Forex - U.S. Dollar Falls Despite Escalating U.S.-China Tension, Pound Flat"
2018-12-09,2018-12-09,Dollar slides as U.S. job data dents Fed tightening outlook; yuan on back foot
2018-12-09,2018-12-09,Forex - Weekly Outlook: December 10 - 14
2018-12-08,2018-12-08,Iran Supreme Leader urges currency boost: central bank
2018-12-07,2018-12-07,Forex - Dollar Subdued as Loonie Leaps
2018-12-07,2018-12-07,Dollar weak as jobs report disappoints
2018-12-07,2018-12-07,Forex - U.S. Dollar Lower After Jobs Data
2018-12-07,2018-12-07,"As Brexit crunch nears, campaign for new referendum gathers pace"
2018-12-07,2018-12-07,"Battered Aussie, NZ dollars seen ticking higher next year: Reuters poll"
2018-12-06,2018-12-06,Forex - U.S. Dollar Flat; Fed Considers Wait-and-See Approach to Rate Hikes
2018-12-06,2018-12-06,China yuan to crack 7 per dollar in six months on weak growth outlook
2018-12-06,2018-12-06,Forex - Dollar Down on Falling U.S. Treasury Yields  
2018-12-06,2018-12-06,Forex - U.S. Dollar Lower After Jobs Data
2018-12-06,2018-12-06,Forex - Safe Haven Yen Gains as Huawei Arrest Rattles Markets
2018-12-06,2018-12-06,"Czech crown seen gaining, sailing through troubled waters in 2019: Reuters poll"
2018-12-06,2018-12-06,South Africa's rand seen weakening in volatile run-up to May vote: Reuters poll
2018-12-06,2018-12-06,Forex - Dollar Little Changed; Yuan Falls After Huawei CFO Arrest
2018-12-05,2018-12-05,Dollar's unrivalled surge this year will reverse in 2019: Reuters poll
2018-12-05,2018-12-05,Dollar dips versus yen as growth concerns shake confidence
2018-12-05,2018-12-05,"Argentina central bank removes rate floor, but still on guard on peso"
2018-12-05,2018-12-05,Forex - Pound Rises as Hopes for Averting Brexit Grow
2018-12-05,2018-12-05,EU pushes for broader global use of euro to challenge dollar
2018-12-05,2018-12-05,Forex - Dollar Steady in Risk-Off Trade; Pound on the Defensive
2018-12-04,2018-12-04,Forex - Aussie Dollar Drops After Weak GDP Data
2018-12-04,2018-12-04,U.S. Treasury yield curve inversion worries keep dollar under pressure
2018-12-04,2018-12-04,Australia's Economy Expands Less Than Expected; Currency Drops
2018-12-04,2018-12-04,Forex - Dollar Off Lows as Safe-Haven Buying Resumes; Sterling Reverses Gains
2018-12-04,2018-12-04,Dollar drops as U.S. Treasury yield curve inversion sparks recession fears
2018-12-04,2018-12-04,UAE and India sign 35 billion rupees currency swap agreement
2018-12-04,2018-12-04,Forex - Dollar Slips After U.S.-China Trade Truce
2018-12-04,2018-12-04,Forex - Dollar Lower Amid Unease over U.S. - China Trade Truce
2018-12-03,2018-12-03,"Forex - Dollar Falls on U.S.-China Trade War Truce, Aussie Gains After RBA"
2018-12-03,2018-12-03,"Presenting legal advice, PM May fans flames of Brexit rebellion"
2018-12-03,2018-12-03,Forex - Dollar in Doldrums as Trade-Sensitive Currencies Soar
2018-12-03,2018-12-03,UK watchdog cautions banks over hasty Brexit moves
2018-12-03,2018-12-03,Forex - Dollar Slips After U.S.-China Trade Truce
2018-12-03,2018-12-03,Forex - Dollar Lower as U.S.-China Trade Truce Spurs Risk Rally
2018-12-03,2018-12-03,Dollar stumbles as U.S.-China trade truce revives risk taking
2018-12-02,2018-12-02,Forex - Asian Currencies Gain Ground as Risk Appetite Returns    
2018-12-02,2018-12-02,Dollar weakens as US-China trade truce revives demand for riskier currencies
2018-12-02,2018-12-02,Forex - Weekly Outlook: December 3 - 7
2018-11-30,2018-11-30,Forex - Dollar Remains on Track for November Gain as G20 Summit Kicks Off
2018-11-30,2018-11-30,Forex - Dollar Rises After Strong Chicago PMI Data
2018-11-30,2018-11-30,Hyperinflationary Venezuela announces 150 percent minimum wage hike
2018-11-30,2018-11-30,Forex - Dollar Rises on Possibility of More Fed Rate Hikes
2018-11-29,2018-11-29,Dollar treads water ahead of Trump-Xi meet at G20 summit
2018-11-29,2018-11-29,Forex – Dollar Picks Up Ahead of G20 Summit
2018-11-29,2018-11-29,Forex - Dollar Flat as Fed Minutes Add Weight to Expectations for Fed Pause
2018-11-29,2018-11-29,Forex - Dollar Stabilizes after Wednesday Drop on Dovish Fed
2018-11-28,2018-11-28,Forex – Dollar Extends Losses as Fed Says Rates Near Neutral
2018-11-28,2018-11-28,Dollar slips as Fed's Powell says U.S. rates near neutral
2018-11-28,2018-11-28,Forex - Dollar Downed by Dovish Powell; Sterling Shines
2018-11-28,2018-11-28,"Forex - Dollar at 2-Week Highs with Fed, Trade in Focus"
2018-11-28,2018-11-28,"Dollar buoyed by Fed expectations, trade tensions support safe haven bids"
2018-11-28,2018-11-28,Forex - Dollar Flat After Fed’s Comments; Trump to Meet Xi This Week
2018-11-27,2018-11-27,Forex- Dollar Inches Higher as Sterling Slumps on Brexit Angst 
2018-11-27,2018-11-27,Forex - Dollar Rises on Less Dovish Comments From Fed’s Clarida
2018-11-27,2018-11-27,"Forex - Dollar Ticks Higher on Trade Fears, Pound Sinks"
2018-11-27,2018-11-27,Trump talk pushes dollar to near two-week highs
2018-11-27,2018-11-27,"Forex - Dollar, Yuan Little Changed Despite Trump’s Comment"
2018-11-26,2018-11-26,Forex - Dollar Falls as Geopolitical Tensions Keep Currency in Check
2018-11-26,2018-11-26,"Forex - Dollar Slips; Euro, Sterling Gain Ground as Risk Appetite Revives"
2018-11-26,2018-11-26,Dollar firmer as global growth concerns support flight-to-safety bid
2018-11-25,2018-11-25,Forex - Pound Flat After EU Leaders Endorse May’s Brexit Deal
2018-11-25,2018-11-25,Pound Edges Up After EU Leaders Sign Off on Brexit Divorce Deal
2018-11-25,2018-11-25,Forex - Weekly Outlook: November 26 - 30
2018-11-23,2018-11-23,Forex - Dollar Set for Weekly Gain as Euro Plunges on Growth Concerns
2018-11-23,2018-11-23,Forex - Sterling Drops as UK and Spain Fail to Reach Deal Over Gibraltar
2018-11-23,2018-11-23,Euro falls on economic growth fears
2018-11-22,2018-11-22,"Forex - Pound Steady After UK, EU Reportedly Agree Draft Declaration For Brexit "
2018-11-22,2018-11-22,"Powell Put May Provide Relief for Chinese Yuan, BNY Mellon Says"
2018-11-22,2018-11-22,The Rupee Just Had Its Best Weekly Run Since Since 2016
2018-11-22,2018-11-22,Carry-Trade Warriors of Emerging Markets Enjoy Best Month in Ten
2018-11-22,2018-11-22,"Forex - Pound Rallies as UK, EU Agree Draft Outlining Post-Brexit Ties"
2018-11-22,2018-11-22,Dollar slips for a second day in quiet trading
2018-11-22,2018-11-22,"Forex - Dollar Dips In Muted Trade, Euro Gains Ground"
2018-11-22,2018-11-22,Forex - Dollar Unchanged as Safe-Haven Demand Stays Subdued 
2018-11-21,2018-11-21,Forex - Dollar Subdued as Weak Durable Goods Orders Weigh
2018-11-21,2018-11-21,"Forex - Dollar Drops as Euro Rises, Stocks Gain"
2018-11-21,2018-11-21,"Forex - Dollar Slips as Risk Aversion Eases, but Caution Persists"
2018-11-21,2018-11-21,Forex - Dollar Little Changed Despite Plunge on Wall Street
2018-11-20,2018-11-20,"Safe haven dollar firms on global slowdown fears, trade tensions"
2018-11-20,2018-11-20,Forex - Dollar Higher as Housing Starts Rebound
2018-11-20,2018-11-20,Forex - Dollar Rises After Equity Selloff  
2018-11-20,2018-11-20,Carney Says Pound Volatility Is Here to Stay Amid Brexit Battles
2018-11-20,2018-11-20,Forex - Dollar Slips to Near 2-Week Lows in Subdued Trade
2018-11-20,2018-11-20,Forex - Dollar Flat After Fed Comments; Aussie Slips
2018-11-19,2018-11-19,Tech Rout Threatens Hong Kong Stocks' Biggest Comeback Since '12
2018-11-19,2018-11-19,British government relents to lawmakers' pressure with pledge to publish Brexit forecasts
2018-11-19,2018-11-19,"Forex - Dollar Stumbles on Weak Housing Data, Sterling Rebound"
2018-11-19,2018-11-19,Yuan Exposed to Vanishing U.S.-China Yield Gap as Much as Trade
2018-11-19,2018-11-19,"Bitcoin breaches $5,000, plumbs fresh 13-month low"
2018-11-19,2018-11-19,Forex - Dollar Extends Losses on Potential Pause in Rate Hikes
2018-11-19,2018-11-19,"Pound falls after PM May Brexit transition comments, large order"
2018-11-19,2018-11-19,Citigroup Sees U.S. Dollar Topping Out in 2019
2018-11-19,2018-11-19,Forex- Dollar Dips on Rate Hike Doubts; Sterling Holding Above 1.28
2018-11-19,2018-11-19,Forex - Yuan Slips Amid Hightened Trade Concerns
2018-11-18,2018-11-18,"Dollar pauses as Fed officials caution about global growth, yen firms"
2018-11-18,2018-11-18,Gold / Silver / Copper Prices - Weekly Outlook: November 19 - 23
2018-11-18,2018-11-18,Forex - Weekly Outlook: November 19 - 23
2018-11-16,2018-11-16,"Forex - Dollar Hurt by Cautious Clarida Remarks, Sterling Rebound"
2018-11-16,2018-11-16,Forex - Dollar Falls as Fed’s Clarida Says Interest Rates Near Neutral
2018-11-16,2018-11-16,Forex - Pound Rises Despite Brexit Woes; Dollar Inches Up
2018-11-16,2018-11-16,Pound Plunge Was Mere Prelude to What May Happen With No Deal
2018-11-16,2018-11-16,"Morgan Stanley Says Dollar Bull Run Has Ended, Time to Sell"
2018-11-16,2018-11-16,Forex - Pound Rises Despite Brexit Crisis; Yen Gains
2018-11-15,2018-11-15,Sterling gripped by Brexit crisis; yen enjoys safety bid
2018-11-15,2018-11-15,"Forex - Dollar on Track for Weekly Gain on Upbeat U.S. Data, Sterling Slump"
2018-11-15,2018-11-15,Forex - U.S. Dollar Rises After Jobless Claims Data 
2018-11-15,2018-11-15,"U.S. envoy for Iran warns EU banks, firms against non-dollar Iran trade"
2018-11-15,2018-11-15,"British Brexit turmoil spooks investors, boosts dollar, yen"
2018-11-15,2018-11-15,Sterling plunges as Brexit minister Raab resigns
2018-11-15,2018-11-15,Forex - Pound Sinks After UK Brexit Minister Raab Resigns
2018-11-15,2018-11-15,"Forex - Dollar Holds Steady, Pound Dips Amid Brexit Uncertainty"
2018-11-15,2018-11-15,Forex - Pound Rises as May Secures Cabinet Support for Brexit Deal
2018-11-14,2018-11-14,Pound Gains as May Wins Cabinet Backing on Draft Brexit Deal
2018-11-14,2018-11-14,Forex - Dollar Down as Sterling Rises After May Secures Cabinet Support
2018-11-14,2018-11-14,Forex - U.S. Dollar Pares Back Gains After Inflation Data
